course_id,department,enroll,weekdays,start,end,location,capacity,instructor
3311,CSE,18,Th,8:00 AM,8:50 AM,Social Sciences Building 278,20,"Zhang, Yixian"
3312,CSE,111,MTWF,3:35 PM,4:25 PM,Tate Hall B20,150,"Zudov, Michael"
3313,CSE,15,Th,3:35 PM,4:25 PM,Carlson School of Mgmt 1-136,20,"Ismael, Safana Mohammed"
3314,CSE,56,MTWF,11:15 AM,12:05 PM,Tate Hall B20,120,"Lysak, Robert L"
3315,CSE,15,Th,11:15 AM,12:05 PM,Folwell Hall 30,15,"Schubring, Daniel A"
3316,CSE,12,Th,12:20 PM,1:10 PM,Tate Hall B85,15,"Bayman, Benjamin F"
3317,CSE,14,Th,12:20 PM,1:10 PM,Ford Hall 151,15,"Mahbub, Rafid"
3318,CSE,37,MTWF,1:25 PM,2:15 PM,Tate Hall B20,100,"Haines, Paul M"
3319,CSE,13,MW,11:15 AM,12:05 PM,Physics & Nanotechnology 110,15,"Ganz, Eric D"
3320,CSE,15,T,9:20 AM,11:00 AM,Physics & Nanotechnology 120,15,"Goldman, Allen M"
3321,CSE,12,MW,10:10 AM,11:00 AM,Tate Hall B55,15,"Halley, J Woods"
3322,CSE,88,MWF,9:05 AM,9:55 AM,Tate Hall 101,150,"Kakalios, James"
3323,CSE,161,MTWF,2:30 PM,3:20 PM,Tate Hall B50,200,"Qian, Yongzhong"
3324,CSE,21,MTWF,11:15 AM,12:05 PM,Tate Hall 110,32,"Cattell, Cynthia Anne"
3325,CSE,9,TTh,11:15 AM,12:30 PM,Tate Hall B45,30,"Fortson, Lucy Frear"
3326,CSE,11,MW,9:05 AM,12:05 PM,Tate Hall B80,17,"Brehmer, Steven Lester"
3327,CSE,6,MW,12:20 PM,3:20 PM,Tate Hall B80,17,"Rusack, Roger William"
3328,CSE,36,T,12:20 PM,1:10 PM,Tate Hall B85,36,"Glesener, Lindsay"
3329,CSE,63,MWF,1:25 PM,2:15 PM,Tate Hall 110,70,"Heller, Ken"
3330,CSE,10,T,12:20 PM,1:10 PM,Vincent Hall 301,15,"Feng, Kexin"
3331,CSE,15,T,12:20 PM,1:10 PM,Physics & Nanotechnology 110,15,"Miller, Andrew S."
3332,CSE,20,T,1:25 PM,2:15 PM,Vincent Hall 2,20,"Feng, Kexin"
3333,CSE,18,T,1:25 PM,2:15 PM,Physics & Nanotechnology 110,20,"Miller, Andrew S."
3334,CSE,27,MWF,3:35 PM,4:25 PM,Tate Hall B45,32,"Valls, Oriol T"
3335,CSE,14,MTWTh,8:00 AM,8:50 AM,Tate Hall B85,25,"Jones, Thomas Walter"
3336,CSE,47,MWF,2:30 PM,3:20 PM,Tate Hall 101,60,"Dahlberg, E Dan"
3337,CSE,5,MWF,9:05 AM,9:55 AM,Tate Hall B55,20,"Rusack, Roger William"
3338,CSE,33,MWF,10:10 AM,11:00 AM,Tate Hall 101,70,"Fernandes, Rafael M"
3339,CSE,14,T,11:15 AM,12:05 PM,Tate Hall B55,14,"Buyukdag, Yusuf"
3340,CSE,3,T,11:15 AM,12:05 PM,Tate Hall B55,3,"Buyukdag, Yusuf"
3341,CSE,33,MWF,11:15 AM,12:05 PM,Tate Hall B65,48,"Pribiag, Vlad"
3342,CSE,7,MWF,9:05 AM,9:55 AM,Physics & Nanotechnology 210,30,"Cushman, Priscilla Brooks"
3343,CSE,5,MWF,12:20 PM,2:15 PM,Tate Hall B85,30,"Wygant, John R"
3344,CSE,7,TTh,9:45 AM,11:00 AM,Tate Hall B45,12,"Prasad, Sudhakar"
3345,CSE,22,MWF,9:05 AM,9:55 AM,Tate Hall 110,48,"Perkins, Natalia"
3346,CSE,22,MTWF,10:10 AM,11:00 AM,Tate Hall B65,48,"Rudaz, Serge"
3347,CSE,4,MW,2:30 PM,4:25 PM,Tate Hall B85,15,"Williams, Liliya L R"
3348,CSE,23,M,1:00 PM,2:00 PM,Tate Hall 201-20,70,"Pawloski, Gregory J"
3349,CSE,27,MWF,11:15 AM,12:05 PM,Tate Hall B85,32,"Vinals, Jorge"
3350,CSE,24,F,4:40 PM,5:30 PM,Tate Hall 201-20,45,"Cherman, Aleksey"
3351,CSE,23,MWF,9:05 AM,9:55 AM,Tate Hall B45,32,"Cherman, Aleksey"
3352,CSE,11,TTh,9:45 AM,11:00 AM,Tate Hall 301-20,30,"Shifman, Mikhail ""Misha"""
3353,CSE,2,Th,10:10 AM,11:00 AM,Physics & Nanotechnology 120,10,"Mueller, Joachim"
3354,CSE,9,TF,12:45 PM,2:00 PM,Tate Hall 120,30,"Kapusta, Joseph I"
3355,CSE,7,W,1:25 PM,2:15 PM,Physics & Nanotechnology 110,0,"Zudov, Michael"
3356,CSE,24,TTh,1:00 PM,2:15 PM,Tate Hall B45,30,"Kamenev, Alex"
3357,CSE,1,T,11:15 AM,12:30 PM,Tate Hall 301-20,0,"Kapusta, Joseph I"
3358,CSE,4,MW,4:40 PM,5:55 PM,Tate Hall B45,20,"Voloshin, Mikhail Borisov"
3359,CSE,217,M,2:30 PM,4:25 PM,10 Church Street SE 100,235,"Kowalewski, Timothy Mariusz"
3360,CSE,30,W,2:30 PM,4:25 PM,Peik Hall 28,30,"Kowalewski, Timothy Mariusz"
3361,CSE,30,W,2:30 PM,4:25 PM,Akerman Hall 327,30,"Kowalewski, Timothy Mariusz"
3362,CSE,29,W,2:30 PM,4:25 PM,Akerman Hall 317,30,"Kowalewski, Timothy Mariusz"
3363,CSE,29,W,2:30 PM,4:25 PM,Akerman Hall 313,30,"Kowalewski, Timothy Mariusz"
3364,CSE,30,W,2:30 PM,4:25 PM,Akerman Hall 215,30,"Kowalewski, Timothy Mariusz"
3365,CSE,30,W,8:00 AM,9:55 AM,Cooke Hall 206,30,"Kowalewski, Timothy Mariusz"
3366,CSE,39,W,2:30 PM,4:25 PM,Rapson Hall 58,40,"Kowalewski, Timothy Mariusz"
3367,CSE,132,MWF,1:25 PM,2:15 PM,Bruininks Hall 230,165,"Kelso, Frank M; Mantell, Susan C"
3368,CSE,10,T,8:00 AM,9:55 AM,Mechanical Engineering 50,9,"Chase, Thomas Richard"
3369,CSE,9,T,10:10 AM,12:05 PM,Mechanical Engineering 50,8,"Chase, Thomas Richard"
3370,CSE,10,T,12:20 PM,2:15 PM,Mechanical Engineering 50,8,"Chase, Thomas Richard"
3371,CSE,10,T,2:30 PM,4:25 PM,Mechanical Engineering 50,9,"Chase, Thomas Richard"
3372,CSE,10,W,8:00 AM,9:55 AM,Mechanical Engineering 50,9,"Chase, Thomas Richard"
3373,CSE,10,W,10:10 AM,12:05 PM,Mechanical Engineering 50,8,"Chase, Thomas Richard"
3374,CSE,9,W,2:30 PM,4:25 PM,Mechanical Engineering 50,9,"Chase, Thomas Richard"
3375,CSE,10,Th,8:00 AM,9:55 AM,Mechanical Engineering 50,9,"Chase, Thomas Richard"
3376,CSE,10,Th,10:10 AM,12:05 PM,Mechanical Engineering 50,9,"Chase, Thomas Richard"
3377,CSE,9,Th,12:20 PM,2:15 PM,Mechanical Engineering 50,8,"Chase, Thomas Richard"
3378,CSE,10,Th,2:30 PM,4:25 PM,Mechanical Engineering 50,9,"Chase, Thomas Richard"
3379,CSE,25,M,8:00 AM,9:55 AM,Amundson Hall 240,40,"Chase, Thomas Richard; Kelso, Frank M"
3380,CSE,42,M,10:10 AM,12:05 PM,Amundson Hall 240,42,"Chase, Thomas Richard; Kelso, Frank M"
